['0x24141441110881521513014171431151551415413610', '0x8829939454', '摩恩电气', '735324TP9IO6X53', '大众交通', '733492JTWEWF2Y1', '2020-11-06 10:45:43', '专业发票', '16.51%', 619, 66628, 67247, 1, 4, '5kg', 1604630743895703000, '0x101361315135015114177106']
['0x51411710615118144281363071119710184015311106', '0x3608570018', '古鳌科技', '735089TDWX0TW69', '爱建集团', '731914A97V77CU6', '2020-11-06 10:45:43', '普通发票', '13.24%', 426, 90206, 90632, 4, 2, '1kg', 1604630743895703000, '0x11721311141456150411914']
['0x55111515213140125415421092021530612391015988', '0x0999472885', '隧道股份', '7332763RDE6X229', '锦江投资', '733051IJCDIHO36', '2020-11-06 10:45:43', '专业发票', '15.91%', 1089, 108294, 109383, 3, 2, '7kg', 1604630743895703000, '0x101110912131311811613125']
['0x0894016621155774149111414121411159615512', '0x9001676941', '光大证券', '73112946NHRQ5S8', '上海电力', '738335WE7B8HYJ9', '2020-11-06 10:45:43', '增值税发票', '14.1%', 345, 26712, 27057, 3, 4, '5kg', 1604630743895703000, '0x12031410012135181597310']
['0x1121212911141410971091113152142114993779111435', '0x0941810566', '上海莱士', '738228RGSDL42H5', '晶华新材', '735238QU5746C17', '2020-11-06 10:45:43', '增值税发票', '11.75%', 490, 86242, 86732, 1, 1, '3kg', 1604630743895703000, '0x1543135415285012831413']
['0x26120817851141005726111511781414812100151156', '0x6787604586', '宏达矿业', '734030770NJEHB8', '新黄浦', '733850EXAHMGYJ1', '2020-11-06 10:45:43', '增值税发票', '19.15%', 307, 72168, 72475, 1, 3, '9kg', 1604630743895703000, '0x1015152131315061237122413']
['0x9661411915399382138913186101014810141215677', '0x6295332478', '金力泰', '7317969P4JTFW20', '中华企业', '73915701H5QLXT6', '2020-11-06 10:45:43', '专业发票', '13.43%', 727, 106980, 107707, 4, 3, '7kg', 1604630743895703000, '0x812156213106158252153']
['0x99115538741310128913108010141189131471037750', '0x6051683464', '方正科技', '7395081WWPAFYX7', '华培动力', '7350244DDXJMB98', '2020-11-06 10:45:43', '增值税发票', '13.97%', 335, 60767, 61102, 3, 1, '3kg', 1604630743895703000, '0x9873155151511210147042']
['0x910571141110107948137164661314291360101249', '0x4052038436', '绿地控股', '733334NWC4DL569', '新文化', '732516K86BH9EY0', '2020-11-06 10:45:43', '普通发票', '18.72%', 761, 33440, 34201, 2, 3, '9kg', 1604630743895703000, '0x41011111509200313101']
['0x48133613152101032781015934859114154121611510', '0x1773383903', '神奇制药', '738595P09I2CIP8', 'ST中安', '737455LFIPCUEE4', '2020-11-06 10:45:43', '增值税发票', '16.24%', 447, 55611, 56058, 1, 4, '10kg', 1604630743895703000, '0x56213511267441310048']
['0x011111154671514132107123105133141011122631010112', '0x9859540024', '中银证券', '739207FMHXVL3C4', '豫园股份', '731065Y3GK86NS1', '2020-11-06 10:45:43', '专业发票', '11.46%', 738, 58681, 59419, 1, 1, '10kg', 1604630743896703300, '0x011222111510710281191']
['0x121095125701115131411116310314151141229113531224', '0x0334751009', '上海三毛', '735105XB25JAT55', '复旦复华', '736407SMITD17U7', '2020-11-06 10:45:43', '增值税发票', '12.96%', 440, 18613, 19053, 1, 3, '4kg', 1604630743896703300, '0x89138134159521212615514']
