['0x55114013152588910956813910102115718105111', '0x7660452519', '克来机电', '731077BFO5WFVE0', '力盛赛车', '7319402V7M3FSN4', '2020-11-06 10:45:43', '普通发票', '15.48%', 491, 75552, 76043, 2, 2, '7kg', 1604630743902777200, '0x513139334121141231312115']
['0x151348114041215188013136870415106177156811', '0x6334228982', '上海银行', '738717X6KKTAO3X', '老凤祥', '731697K29NY5VX7', '2020-11-06 10:45:43', '专业发票', '15.81%', 586, 47497, 48083, 3, 3, '5kg', 1604630743902777200, '0x181513137119001480810']
['0x611414461034121450538014813306413171051068', '0x5996952990', '上海机电', '739017PGDOY03Y9', '普利特', '733135P67MTGUG0', '2020-11-06 10:45:43', '增值税发票', '15.87%', 605, 85993, 86598, 4, 1, '9kg', 1604630743902777200, '0x41301151312761161451107']
['0x981510014794041281411154211331245114214012914', '0x1028666922', '老凤祥', '731697K29NY5VX7', '中远海发', '734338ULCG7TM33', '2020-11-06 10:45:43', '增值税发票', '13.44%', 460, 91105, 91565, 2, 4, '3kg', 1604630743902777200, '0x8501401594981110144915']
['0x8585891112151200511015131446102796111511410106', '0x3879827379', '维宏股份', '734905HMDA7PDF9', '泛微网络', '7364413YLO78W85', '2020-11-06 10:45:43', '普通发票', '11.26%', 202, 15205, 15407, 4, 2, '1kg', 1604630743902777200, '0x677113133512151312118120']
['0x1191201526511131341410150061139151325146119512', '0x0560377422', '康德莱', '736309QM2GOYVD5', '张江高科', '735909FYLDU4NM4', '2020-11-06 10:45:43', '专业发票', '16.54%', 510, 34069, 34579, 1, 1, '7kg', 1604630743902777200, '0x33211461066313515600']
['0x91215611161201013857215120151286616213389155', '0x0439234214', '威派格', '732934IEPT3VCR2', '新通联', '739024LJUDT83G9', '2020-11-06 10:45:43', '增值税发票', '16.6%', 300, 12410, 12710, 4, 3, '7kg', 1604630743902777200, '0x91410131099121511111514913']
['0x1211310490145806515391252871092021571513812', '0x8586370047', '华东电脑', '736559JEEJJU3B7', '海通证券', '734316Y2KXBNEDX', '2020-11-06 10:45:43', '专业发票', '16.47%', 563, 97883, 98446, 3, 1, '1kg', 1604630743902777200, '0x1548821481111121161112114']
['0x311415910119601406285101013221416914014353', '0x3372100087', '航天机电', '733046K6PK2SFB4', '中路股份', '731720LJNC238Y3', '2020-11-06 10:45:43', '专业发票', '18.03%', 945, 70310, 71255, 2, 4, '3kg', 1604630743902777200, '0x1112145471313238512142']
['0x1415111124124145591331004931271337131912131511', '0x1645152541', '三湘印象', '7387169WWD894R7', '徕木股份', '7373156T606ROC8', '2020-11-06 10:45:43', '普通发票', '11.07%', 319, 31618, 31937, 1, 4, '2kg', 1604630743902777200, '0x11539105393121221033']
['0x13706139141069043126763129509123736119', '0x6471669308', '延华智能', '737055XVKT065P9', '宝钢包装', '732110OOWW63K24', '2020-11-06 10:45:43', '增值税发票', '19.51%', 250, 78268, 78518, 2, 1, '4kg', 1604630743903780500, '0x3159512015315515331110']
['0x15696945013737131088141213291410155615111181114', '0x5223439976', '上海雅仕', '730489Y87PHI0G5', '畅联股份', '735690Q7MIUXB64', '2020-11-06 10:45:43', '专业发票', '18.37%', 603, 50170, 50773, 2, 1, '10kg', 1604630743903780500, '0x139101078314996476712']
['0x978121415645152111351418151514131430536195136', '0x0548172107', '安硕信息', '739758Q85U0J5T6', '地素时尚', '738550Q2Q5VUEH8', '2020-11-06 10:45:43', '增值税发票', '12.52%', 763, 83794, 84557, 3, 3, '9kg', 1604630743903780500, '0x1010151111310121210144151247']
['0x157672066120610142711131341211138131313910015104', '0x6059450977', '开开实业', '7311720HCR3HQT4', '复旦复华', '736407SMITD17U7', '2020-11-06 10:45:43', '专业发票', '16.37%', 990, 71650, 72640, 3, 4, '6kg', 1604630743903780500, '0x440013101012115121311285']
['0x7101014941110101315450215111136271300911150828', '0x3581773564', '徕木股份', '7373156T606ROC8', '华贸物流', '733646088UMTNG8', '2020-11-06 10:45:43', '普通发票', '16.35%', 211, 22349, 22560, 4, 4, '10kg', 1604630743903780500, '0x1261571315151469141056']
['0x13131138169141513144103714612121150143675121129', '0x7631917218', '康达新材', '7391739NQT6ROD9', '上海梅林', '730115CTYLL1220', '2020-11-06 10:45:43', '增值税发票', '10.38%', 542, 14047, 14589, 1, 2, '11kg', 1604630743903780500, '0x1310137115147761413131013']
['0x15713682131371221281341113137129614511677111413', '0x8114049081', '上汽集团', '739487RMLNASKP9', '新文化', '732516K86BH9EY0', '2020-11-06 10:45:43', '增值税发票', '15.14%', 609, 87226, 87835, 2, 4, '7kg', 1604630743903780500, '0x1051533411310156121110413']
['0x3412101544251124011581215615669101549983133', '0x3429767690', '中曼石油', '738369IQBCPQ8Y3', '顺灏股份', '738962FEXP7C5E0', '2020-11-06 10:45:43', '专业发票', '13.22%', 265, 51681, 51946, 4, 3, '4kg', 1604630743903780500, '0x958421141546712150138']
['0x5842511345912824514365840652111948513', '0x4694609098', '上海能源', '7301500XLP6F144', '保隆科技', '731114ANPJPBH71', '2020-11-06 10:45:43', '专业发票', '16.11%', 987, 68690, 69677, 1, 3, '11kg', 1604630743903780500, '0x10138121269151303014411']
['0x151415105553119091415100121414801091015101081311512', '0x3183206839', '上海贝岭', '73815746CLN9IC5', '会畅通讯', '736280SI9J3UEJ6', '2020-11-06 10:45:43', '普通发票', '17.6%', 145, 29162, 29307, 1, 1, '10kg', 1604630743903780500, '0x136155710258813951116']
['0x136671361041210815114101282103145121546361010215', '0x9966448383', '荣丰控股', '737462HU9S9DTV8', '耀皮玻璃', '73145750J4TIA14', '2020-11-06 10:45:43', '增值税发票', '10.13%', 220, 91401, 91621, 2, 4, '5kg', 1604630743903780500, '0x12923714100110610101265']
['0x91221115513814128158131310114132815882411112', '0x9893448796', '悦心健康', '7342506SXUSOGI0', '外高桥', '731535U96US9ER7', '2020-11-06 10:45:43', '增值税发票', '16.36%', 488, 23836, 24324, 3, 2, '2kg', 1604630743903780500, '0x931151541110108365315']
['0x5211116141411563155351401011211813115397121395', '0x4565195287', '威派格', '732934IEPT3VCR2', '翔港科技', '737570R8NXR99FX', '2020-11-06 10:45:43', '专业发票', '15.88%', 102, 23843, 23945, 2, 1, '6kg', 1604630743903780500, '0x1415121121510114151141008']
['0x1281310151012111112141413513841111158811101265140', '0x2757143753', '华培动力', '7350244DDXJMB98', '保隆科技', '731114ANPJPBH71', '2020-11-06 10:45:43', '专业发票', '17.23%', 352, 79653, 80005, 1, 2, '7kg', 1604630743904782000, '0x121411183015111010134949']
['0x157413159212108110110101331911920121207314103', '0x6268729817', '新朋股份', '735120MK0AYVQP2', '良信电器', '731974JGB72L8C0', '2020-11-06 10:45:43', '普通发票', '15.7%', 196, 11989, 12185, 1, 4, '2kg', 1604630743904782000, '0x8839915138148106814612']
['0x11101011731081214101081811530104156371151014011', '0x8745843403', '科大智能', '732830VVL5VSYY1', '科华生物', '734551HGHYFPFA1', '2020-11-06 10:45:43', '专业发票', '19.51%', 143, 81140, 81283, 1, 4, '5kg', 1604630743904782000, '0x55271011133291181378']
['0x1521811941331588114114641411414301044156514', '0x4151764911', '开能健康', '732671A9RD43Q7X', '威尔泰', '739185FCFOYGHBX', '2020-11-06 10:45:43', '增值税发票', '16.45%', 1016, 15703, 16719, 1, 1, '11kg', 1604630743904782000, '0x131215143714513110972']
['0x1448001112212714112279102421115103646101460', '0x1604066975', '锦江投资', '733051IJCDIHO36', '龙宇燃油', '7306245UDIIST56', '2020-11-06 10:45:43', '专业发票', '17.89%', 248, 82406, 82654, 3, 2, '6kg', 1604630743904782000, '0x11215129132812141215371']
['0x11411583814121413395103122215151017813121520', '0x7804460775', '矩子科技', '731234LM4MKOAQ1', '华虹计通', '731091EL2JQF4AX', '2020-11-06 10:45:43', '专业发票', '18.3%', 259, 12447, 12706, 2, 1, '9kg', 1604630743904782000, '0x615149133012512412136135']
['0x811141112124101172141010610444631801159131471311', '0x2357521720', '开开实业', '7311720HCR3HQT4', '安科瑞', '738566C559JDY68', '2020-11-06 10:45:43', '专业发票', '16.88%', 690, 74799, 75489, 2, 2, '6kg', 1604630743904782000, '0x81391132010138411131413']
['0x1315014110129759211271347911115015151151110144', '0x1388082759', '华域汽车', '736195P9OS45392', '光大嘉宝', '730415FUU5METM0', '2020-11-06 10:45:43', '专业发票', '10.66%', 1056, 107652, 108708, 4, 2, '3kg', 1604630743904782000, '0x78887701591101313845']
