['0x013121291061493421111131049241312871055370116', '0x8234523749', '爱建集团', '731914A97V77CU6', '中颖电子', '739439P60C8CSO6', '2020-11-06 10:45:43', '增值税发票', '14.69%', 370, 39557, 39927, 1, 1, '5kg', 1604630743970366700, '0x073108141561471031141213']
['0x112531225149123146811011321359513415405647', '0x3942026864', '畅联股份', '735690Q7MIUXB64', '城投控股', '730487GDYC4U1C5', '2020-11-06 10:45:43', '增值税发票', '15.11%', 132, 98285, 98417, 2, 1, '10kg', 1604630743970366700, '0x8128114114911121111970']
['0x8641473114107813135319191211101014714144311', '0x9766389610', '城地股份', '737145NMSSW1CK1', '三湘印象', '7387169WWD894R7', '2020-11-06 10:45:43', '增值税发票', '11.69%', 302, 29942, 30244, 2, 1, '4kg', 1604630743970366700, '0x59738076314158554']
['0x43510131523831414101213121381091525595151214153', '0x6866351196', '雅运股份', '7320064G5K6KY09', '海通证券', '734316Y2KXBNEDX', '2020-11-06 10:45:43', '专业发票', '13.88%', 216, 19605, 19821, 2, 2, '2kg', 1604630743970366700, '0x1371158014310673915011']
['0x87101335512513211311310317786363138501437', '0x3844653067', '富瀚微', '731294241FWESA8', '开能健康', '732671A9RD43Q7X', '2020-11-06 10:45:43', '增值税发票', '18.85%', 422, 108784, 109206, 3, 2, '9kg', 1604630743970366700, '0x365111421624138131324']
['0x2763913150512815527515641109111108513133415', '0x0233214368', '强生控股', '737120FLLHCKL70', '上海医药', '733219HT9S541Y4', '2020-11-06 10:45:43', '专业发票', '17.53%', 893, 30132, 31025, 4, 2, '9kg', 1604630743970366700, '0x410903314111282456156']
['0x61501325141413926610831147715132151715131', '0x5154396534', '科华生物', '734551HGHYFPFA1', '鼎捷软件', '738245L775DFQR4', '2020-11-06 10:45:43', '普通发票', '16.85%', 193, 98800, 98993, 4, 4, '10kg', 1604630743970366700, '0x1813131487910153119812']
['0x91294123111315451591514141061215141115123941315134', '0x0352053690', 'ST毅达', '736531RDEPB2K05', '上海银行', '738717X6KKTAO3X', '2020-11-06 10:45:43', '增值税发票', '10.37%', 176, 109873, 110049, 4, 2, '4kg', 1604630743970366700, '0x101210187061302831512']
['0x761178112124515189601406121410811122139426', '0x6079351611', 'ST运盛', '73292259D8HIEYX', '克来机电', '731077BFO5WFVE0', '2020-11-06 10:45:43', '普通发票', '19.88%', 918, 96720, 97638, 2, 2, '10kg', 1604630743970366700, '0x03288239123109156515']
['0x6614121214211131355131513121501484421211512121515', '0x3237779810', '克来机电', '731077BFO5WFVE0', '上海环境', '738233PBCS3DBL3', '2020-11-06 10:45:43', '增值税发票', '10.23%', 910, 25029, 25939, 4, 1, '11kg', 1604630743971374500, '0x123104101212839131461337']
['0x911115311712310410481094614311413513701593114', '0x5320447943', '润欣科技', '739937L6YA0SRD0', '东富龙', '731887ICQKDTBR1', '2020-11-06 10:45:43', '专业发票', '14.63%', 1064, 79248, 80312, 4, 2, '4kg', 1604630743971374500, '0x4119139210212111795107']
['0x31120101524117651122121531014113501403414055', '0x1388448178', '上海银行', '738717X6KKTAO3X', '康德莱', '736309QM2GOYVD5', '2020-11-06 10:45:43', '普通发票', '19.98%', 471, 106157, 106628, 4, 2, '7kg', 1604630743971374500, '0x11489791421097154792']
['0x61082911154014113110491386152799139114105147', '0x4482657054', '隧道股份', '7332763RDE6X229', '畅联股份', '735690Q7MIUXB64', '2020-11-06 10:45:43', '增值税发票', '19.13%', 306, 23334, 23640, 2, 1, '2kg', 1604630743971374500, '0x01211101271315070558115']
['0x6136097295101073065101229461507011211367', '0x1545218271', '博通集成', '738070D71LJHAB5', '世茂股份', '739529HJRYA7T44', '2020-11-06 10:45:43', '专业发票', '16.88%', 495, 29787, 30282, 2, 2, '11kg', 1604630743971374500, '0x48143713651289313912']
['0x155715141214101349121067015159101413106141508610', '0x3980193460', '中船科技', '7379237HDX52G01', '中国船舶', '7399465MHRXA5K5', '2020-11-06 10:45:43', '增值税发票', '16.54%', 997, 81579, 82576, 3, 1, '11kg', 1604630743971374500, '0x21520771415413991214812']
['0x1310914611721315613412111210115125118741561411207', '0x8931330572', '数据港', '73940845KXTQ7M8', '元祖股份', '737965JLDF6SY40', '2020-11-06 10:45:43', '增值税发票', '12.98%', 436, 102568, 103004, 2, 2, '6kg', 1604630743971374500, '0x81412761021231111350314']
['0x1177101401138445400602081121081273881496', '0x6003479221', '畅联股份', '735690Q7MIUXB64', '岱美股份', '7377832LFXY42B8', '2020-11-06 10:45:43', '专业发票', '17.66%', 1018, 42663, 43681, 3, 1, '1kg', 1604630743971374500, '0x71014282106791581412149']
['0x1510137109119120114215105014911371091576316103', '0x5905566061', '东方财富', '7373367NFM873UX', '维宏股份', '734905HMDA7PDF9', '2020-11-06 10:45:43', '增值税发票', '12.53%', 200, 18808, 19008, 2, 1, '9kg', 1604630743971374500, '0x0668553131571012659']
['0x1354001131171313138315151038095312611821141513', '0x3454233391', '至纯科技', '730833CX5DIKC40', '创力集团', '735457QC618NR54', '2020-11-06 10:45:43', '普通发票', '18.91%', 598, 10596, 11194, 1, 1, '1kg', 1604630743971374500, '0x433541231534122113145']
['0x510210114104361611001293128151209121301110134', '0x3812835031', '紫江企业', '735474V8WSKU8M0', '益民集团', '732763O7Y67XYV6', '2020-11-06 10:45:43', '普通发票', '19.01%', 853, 107355, 108208, 2, 1, '9kg', 1604630743971374500, '0x44215603153142015141']
['0x311513125803349215161154813489301215591', '0x4210034689', 'ST沪科', '737385Q2XESW4N3', '振华重工', '7304037HH6A8XM6', '2020-11-06 10:45:43', '增值税发票', '15.82%', 592, 40079, 40671, 2, 4, '2kg', 1604630743971374500, '0x83853609381577121512']
['0x10164812901431310923921581110513153138214913', '0x4558450770', '富瀚微', '731294241FWESA8', '丰华股份', '739994PMBILTC41', '2020-11-06 10:45:43', '专业发票', '18.68%', 431, 74401, 74832, 1, 3, '8kg', 1604630743971374500, '0x54143101012116130881531']
['0x251305140210061151061114611271471121510651015', '0x5197915892', '爱普股份', '7385691CXW3L5B6', '龙宇燃油', '7306245UDIIST56', '2020-11-06 10:45:43', '增值税发票', '16.03%', 130, 52823, 52953, 4, 3, '7kg', 1604630743971374500, '0x23241201413555097113']
['0x610410150871141911015478214541489246691312', '0x3932496735', '张江高科', '735909FYLDU4NM4', '普元信息', '7359276QNU45K35', '2020-11-06 10:45:43', '普通发票', '13.06%', 241, 19304, 19545, 4, 3, '10kg', 1604630743971374500, '0x1212131513121013151371112394']
['0x851431151292111541801047511415370155166110', '0x0219821582', '昂立教育', '7314705HCSPI4H6', '翔港科技', '737570R8NXR99FX', '2020-11-06 10:45:43', '普通发票', '12.06%', 198, 28511, 28709, 4, 1, '11kg', 1604630743971374500, '0x1009661130118512015148']
['0x3120611111261411310100101036191241413501071049', '0x4264018018', '上海机电', '739017PGDOY03Y9', '乐鑫科技', '7377029EIXPJ8A0', '2020-11-06 10:45:43', '专业发票', '11.18%', 281, 87159, 87440, 2, 1, '6kg', 1604630743972373800, '0x7579128813124140100132']
['0x067711501164121130191691030112420310410', '0x5197752915', '益民集团', '732763O7Y67XYV6', '至正股份', '7336385JAOIHBB0', '2020-11-06 10:45:43', '增值税发票', '17.87%', 536, 74296, 74832, 1, 1, '2kg', 1604630743972373800, '0x131465571111126187441']
['0x155714745779312120142083383012651013201010', '0x3883905337', '良信电器', '731974JGB72L8C0', '金安国纪', '738111YSESAJP22', '2020-11-06 10:45:43', '专业发票', '15.47%', 693, 49956, 50649, 2, 4, '10kg', 1604630743972373800, '0x113314251311501714211']
['0x3275940051201315131661150373515161181314', '0x5034987441', '昂立教育', '7314705HCSPI4H6', 'ST游久', '734494GFE9MASR1', '2020-11-06 10:45:43', '普通发票', '13.53%', 597, 106147, 106744, 2, 1, '2kg', 1604630743972373800, '0x131073706713715327512']
['0x80711513766998063615102140134256107153110', '0x9491110157', '力盛赛车', '7319402V7M3FSN4', '金安国纪', '738111YSESAJP22', '2020-11-06 10:45:43', '增值税发票', '16.74%', 195, 38008, 38203, 4, 2, '10kg', 1604630743972373800, '0x14115911410124210542122']
['0x2141515344128101613151481505231514129105713585', '0x0469618948', '菲林格尔', '7313040BPF80YMX', '宏达矿业', '734030770NJEHB8', '2020-11-06 10:45:43', '增值税发票', '16.97%', 454, 37307, 37761, 1, 1, '11kg', 1604630743972373800, '0x7591301410151214513391511']
['0x14668140134315760113215141477459118143510815', '0x9842355093', '大名城', '731979HS4YE90X5', '开创国际', '730359CMXQXO4D9', '2020-11-06 10:45:43', '增值税发票', '14.37%', 773, 87297, 88070, 3, 3, '6kg', 1604630743972373800, '0x10120101210961149117870']
['0x6129581593132131711113784213512151010110313106', '0x9291409370', '张江高科', '735909FYLDU4NM4', '普元信息', '7359276QNU45K35', '2020-11-06 10:45:43', '专业发票', '14.93%', 798, 76950, 77748, 3, 4, '7kg', 1604630743972373800, '0x877104130579251415154']
['0x215968101511507212151512797184128131313134714', '0x8678806345', '上海新阳', '730561WBXHCUJ4X', '绿庭投资', '732243JAO5UMVO0', '2020-11-06 10:45:43', '专业发票', '11.76%', 380, 69349, 69729, 2, 1, '3kg', 1604630743972373800, '0x10404411112415360794']
['0x7951316151513141075712811211613486476093', '0x5979729422', '大智慧', '737166PKJ1ISGX7', '柏楚电子', '7388021KSTN0P29', '2020-11-06 10:45:43', '专业发票', '11.35%', 583, 95758, 96341, 4, 3, '2kg', 1604630743972373800, '0x151267151176115171135']
['0x084131148927111180512010731181112983111912', '0x6657740088', '鹏欣资源', '737111PQHNJHRC9', '上海石化', '73810463XNW9XX5', '2020-11-06 10:45:43', '增值税发票', '10.03%', 1018, 98084, 99102, 2, 3, '7kg', 1604630743972373800, '0x91477213315551627510']
['0x1211733311107804614913381190213153510010426', '0x2867475379', '华丽家族', '733240U6SJXIQA5', '中化国际', '739874L8BDK4J56', '2020-11-06 10:45:43', '增值税发票', '16.0%', 1068, 103027, 104095, 3, 3, '10kg', 1604630743972373800, '0x030615059140815170']
