2021-01-03 19:25:59 |ERROR |pool-1-thread-3 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:25:59 |ERROR |pool-1-thread-3 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:26:01 |ERROR |pool-1-thread-2 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:26:01 |ERROR |pool-1-thread-4 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:26:01 |ERROR |pool-1-thread-1 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:26:01 |ERROR |pool-1-thread-2 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:26:01 |ERROR |pool-1-thread-4 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:26:01 |ERROR |pool-1-thread-5 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:26:01 |ERROR |pool-1-thread-5 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:26:01 |ERROR |pool-1-thread-1 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:26:18 |ERROR |pool-1-thread-3 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:26:18 |ERROR |pool-1-thread-3 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:26:27 |ERROR |pool-1-thread-1 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:26:27 |ERROR |pool-1-thread-1 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:26:27 |ERROR |pool-1-thread-4 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:26:27 |ERROR |pool-1-thread-4 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:26:27 |ERROR |pool-1-thread-2 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
