2020-12-10 16:48:30 |INFO  |main |StartupInfoLogger.java:50 |com.zlimbo.rpc.RpcApplication |Starting RpcApplication on L with PID 17848 (C:\z\coding\IdeaProjects\ouyeel-bc\rpc\target\classes started by z in C:\z\coding\IdeaProjects\ouyeel-bc\rpc)
2020-12-10 16:48:30 |DEBUG |main |StartupInfoLogger.java:53 |com.zlimbo.rpc.RpcApplication |Running with Spring Boot v2.1.3.RELEASE, Spring v5.1.5.RELEASE
2020-12-10 16:48:30 |INFO  |main |SpringApplication.java:675 |com.zlimbo.rpc.RpcApplication |No active profile set, falling back to default profiles: default
2020-12-10 16:48:30 |DEBUG |background-preinit |ResourceBundleMessageInterpolator.java:89 |org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator |Loaded expression factory via original TCCL
2020-12-10 16:48:30 |DEBUG |background-preinit |ValidatorFactoryImpl.java:578 |org.hibernate.validator.internal.engine.ValidatorFactoryImpl |HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
2020-12-10 16:48:30 |DEBUG |background-preinit |ValidatorFactoryImpl.java:579 |org.hibernate.validator.internal.engine.ValidatorFactoryImpl |HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
2020-12-10 16:48:30 |DEBUG |background-preinit |ValidatorFactoryImpl.java:580 |org.hibernate.validator.internal.engine.ValidatorFactoryImpl |HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
2020-12-10 16:48:30 |DEBUG |background-preinit |ValidatorFactoryImpl.java:581 |org.hibernate.validator.internal.engine.ValidatorFactoryImpl |HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
2020-12-10 16:48:30 |DEBUG |background-preinit |ValidatorFactoryImpl.java:582 |org.hibernate.validator.internal.engine.ValidatorFactoryImpl |HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
2020-12-10 16:48:31 |INFO  |main |TomcatWebServer.java:90 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8080 (http)
2020-12-10 16:48:31 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8080"]
2020-12-10 16:48:31 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2020-12-10 16:48:31 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.16]
2020-12-10 16:48:31 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.AprLifecycleListener |The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\z\bin\Java\jdk1.8.0_261\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR;C:\Program Files\Microsoft VS Code\bin;C:\Program Files\Docker\Docker\resources\bin;C:\ProgramData\DockerDesktop\version-bin;C:\Users\z\AppData\Local\Programs\Python\Python39\Scripts\;C:\Users\z\AppData\Local\Programs\Python\Python39\;C:\Users\z\.cargo\bin;C:\Users\z\AppData\Local\Microsoft\WindowsApps;C:\z\bin\Java\jdk1.8.0_261\bin;C:\Users\z\AppData\Local\JetBrains\IntelliJ IDEA 2020.2.3\bin;;C:\Program Files\Bandizip\;C:\z\bin\mysql-5.7.31-winx64\bin;C:\Users\z\AppData\Local\hyper\app-3.0.2\resources\bin;C:\z\bin\apache-maven-3.6.3\bin;C:\users\z\appdata\local\programs\python\python37\Scripts;;.]
2020-12-10 16:48:31 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2020-12-10 16:48:31 |INFO  |main |ServletWebServerApplicationContext.java:296 |org.springframework.web.context.ContextLoader |Root WebApplicationContext: initialization completed in 910 ms
2020-12-10 16:48:31 |DEBUG |main |ChainController.java:111 |com.zlimbo.rpc.controller.ChainController |ibatis SqlMapConfig ...
2020-12-10 16:48:31 |DEBUG |main |ChainController.java:116 |com.zlimbo.rpc.controller.ChainController |ibatis SqlMapConfig success
